ID_Number,Authors,Author.s..ID,Title,Year,Assigned To,Added or Not Relevant?,Justification for Not Relevant,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,Page.count,Cited.by,Abstract Filter,Filtered By (Initials),Second NA Filter,Second Filter By (Initials),DOI,"Filtering Reason (RAs do not fill this out, only for a reference guide)",Link,Filter Explanation (RAs do not fill this out),Document.Type,Publication.Stage,Access.Type,Source,EID,X
188,"Chan, Y.T.",5.72E+10,Collaborative optimal carbon tax rate under economic and energy price shocks: A dynamic stochastic general equilibrium model approach,2020,Delavane,,,Journal of Cleaner Production,256,,120452,,,NA,1,1,NST,,,10.1016/j.jclepro.2020.120452,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85079327423&partnerID=40&md5=c4d5216a44d6c02b89d638ce9ba732cb,,Article,Final,,Scopus,2-s2.0-85079327423,
808,"Asplund, D.",5.72E+10,Combining discounting and distributional weights. Lessons from climate change economic assessments,2019,Gernot,,,Economics and Policy of Energy and the Environment,2019,1,,181,201,NA,NA,NA,NST,1,HFW,10.3280/EFE2019-001012,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084291636&partnerID=40&md5=ef3137eb5cf00138bbba9c08c79aa9e8,,Article,Final,,Scopus,2-s2.0-85084291636,
3634,"Pizer, W.A.",6.60E+09,Combining price and quantity controls to mitigate global climate change,2002,Simon,Added,,Journal of Public Economics,85,3,,409,434,NA,305,1,CT,,,10.1016/S0047-2727(01)00118-9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-0036314604&partnerID=40&md5=6c4a95b9a3b54e1b06401ea8d288a190,,Article,Final,,Scopus,2-s2.0-0036314604,
3758,"Hope, Chris W",NA,Commentary: The Social Cost of Carbon: What Does It Actually Depend On?,2006,James,Added,,Climate Policy,6,5,NA,565,NA,NA,NA,NA,CT,1,NST,,,https://search.proquest.com/docview/56646221?accountid=14505,,Scholarly Journals,NA,NA,EconLit,NA,NA
2415,"Wilkerson, J.T., Leibowicz, B.D., Turner, D.D., Weyant, J.P.",35225507400; 55998327100; 56454748600; 7003413782,Comparison of integrated assessment models: Carbon price impacts on U.S. energy,2015,Delavane,,,Energy Policy,76,,,18,31,NA,21,1,NST,,,10.1016/j.enpol.2014.10.011,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84919476047&partnerID=40&md5=de926b1303abb05aec281f6c77c7d3c2,,Article,Final,Open Access,Scopus,2-s2.0-84919476047,
2408,"Wu, Y.-C., Huang, W.-L., Hsu, Y.-F., Wang, S.-C., Lin, J.-Y., Chen, M.-J.",56093260500; 8705815000; 55541417200; 36728478900; 56129777000; 54790675500,Computational framework for optimal carbon taxes based on electric supply chain considering transmission constraints and losses,2015,Delavane,,,Mathematical Problems in Engineering,2015,,395973,,,NA,1,1,NST,,,10.1155/2015/395973,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84942274902&partnerID=40&md5=42ee5661c6beed00212a8c10331277e7,,Article,Final,Open Access,Scopus,2-s2.0-84942274902,
3354,"Rabl, A., van der Zwaan, B.",7004462093; 35876735300,Cost-benefit analysis of climate change dynamics: Uncertainties and the value of information,2009,Ivan,Not relevant,"About the value of research, no estimates of taxes or SCC",Climatic Change,96,3,,313,333,NA,8,1,CT,,,10.1007/s10584-009-9629-8,,https://www.scopus.com/inward/record.url?eid=2-s2.0-71349085237&partnerID=40&md5=b8cbcd329cc72508e7c8621e892f1904,,Article,Final,,Scopus,2-s2.0-71349085237,
2572,"Kunnas, J., McLaughlin, E., Hanley, N., Greasley, D., Oxley, L., Warde, P.",6506421239; 55625869500; 7005750378; 6603814976; 7003336774; 35919062000,"Counting carbon: historic emissions from fossil fuels, long-run measures of sustainable development and carbon debt",2014,Gernot,,,Scandinavian Economic History Review,62,3,,243,265,NA,7,1,NST,,,10.1080/03585522.2014.896284,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84912027492&partnerID=40&md5=330973a55f6c52a3b7008b26efce4582,,Article,Final,,Scopus,2-s2.0-84912027492,
1000,"Ricke, K., Drouet, L., Caldeira, K., Tavoni, M.",26325911300; 55618509700; 7004807312; 21744127000,Country-level social cost of carbon,2018,Fran,Added,,Nature Climate Change,8,10,,895,900,NA,98,1,AZ,,,10.1038/s41558-018-0282-y,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85053825074&partnerID=40&md5=82ea846ca9f8c166e8607919e1632ef7,,Article,Final,,Scopus,2-s2.0-85053825074,
1641,"van der Ploeg, F., Rezai, A.",6701915911; 36859652300,"Cumulative emissions, unburnable fossil fuel, and the optimal carbon tax",2017,Moritz,,,Technological Forecasting and Social Change,116,,,216,222,NA,11,1,NST,,,10.1016/j.techfore.2016.10.016,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85027946038&partnerID=40&md5=b8a9ad01bff795e604e7761153d73412,,Article,Final,Open Access,Scopus,2-s2.0-85027946038,
3423,"Guillerminet, M.-L., Tol, R.S.J.",14054002300; 55765581600,Decision making under catastrophic risk and learning: The case of the possible collapse of the West Antarctic Ice Sheet,2008,Gernot,,,Climatic Change,91,2-Jan,,193,209,NA,10,1,CT,,,10.1007/s10584-008-9447-4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-54949157265&partnerID=40&md5=4429900a8aa00ca4c739a0caed08d5cf,,Article,Final,Open Access,Scopus,2-s2.0-54949157265,
495,"Daniel, K.D., Litterman, R.B., Wagner, G.",57217715943; 6508045097; 16644151000,Declining CO<inf>2</inf> price paths,2019,Gernot,,,Proceedings of the National Academy of Sciences of the United States of America,116,42,,20886,20891,NA,5,1,IR,,,10.1073/pnas.1817444116,"Paper is about CO2 price paths, abstract is a little vague so I could see coding this as NA as well",https://www.scopus.com/inward/record.url?eid=2-s2.0-85073308393&partnerID=40&md5=1d378f0bfc6607eeedc0b607f10358d1,,Article,Final,Open Access,Scopus,2-s2.0-85073308393,
2220,"Freeman, M.C., Groom, B., Panopoulou, E., Pantelidis, T.",8349635100; 9740614000; 57203158013; 16304816500,"Declining discount rates and the Fisher Effect: Inflated past, discounted future?",2015,Simon,Added,,Journal of Environmental Economics and Management,73,,,32,49,NA,14,1,NST,,,10.1016/j.jeem.2015.06.003,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84941635184&partnerID=40&md5=603530c924bea83572368120237e3ff9,,Article,Final,,Scopus,2-s2.0-84941635184,
523,"Takakura, J., Fujimori, S., Hanasaki, N., Hasegawa, T., Hirabayashi, Y., Honda, Y., Iizumi, T., Kumano, N., Park, C., Shen, Z., Takahashi, K., Tamura, M., Tanoue, M., Tsuchida, K., Yokoki, H., Zhou, Q., Oki, T., Hijioka, Y.",57194621804; 36971176800; 7004928517; 26655621500; 36463595600; 56336538800; 57207840348; 57205349758; 55935899600; 57203384484; 55741327300; 36505160000; 56448508200; 57211276661; 6507134784; 56600991100; 7202205546; 23993507900,Dependence of economic impacts of climate change on anthropogenically directed pathways,2019,James,Not relevant,No SCC reported,Nature Climate Change,9,10,,737,741,NA,3,1,YL,,,10.1038/s41558-019-0578-6,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85073246866&partnerID=40&md5=ccd9bdefd551ab52db559fc295d928d5,,Article,Final,,Scopus,2-s2.0-85073246866,
341,"Okullo, S.J.",4.40E+10,Determining the Social Cost of Carbon: Under Damage and Climate Sensitivity Uncertainty,2020,Fran,Added,,Environmental and Resource Economics,75,1,,79,103,NA,NA,1,NST,,,10.1007/s10640-019-00389-w,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85076129262&partnerID=40&md5=81786bd96573c405c473be19bdc9126d,,Article,Final,,Scopus,2-s2.0-85076129262,
3151,"Ortiz, R.A., Golub, A., Lugovoy, O., Markandya, A., Wang, J.",33167737800; 7006729790; 6506004393; 56349420200; 8734784200,DICER: A tool for analyzing climate policies,2011,Delavane,,,Energy Economics,33,SUPPL. 1,,S41,S49,NA,7,NA,CT,1,NST,10.1016/j.eneco.2011.07.025,,https://www.scopus.com/inward/record.url?eid=2-s2.0-80054903871&partnerID=40&md5=52be9e11fb8fcafa9c350f7d6e20adff,,Article,Final,,Scopus,2-s2.0-80054903871,
3437,"Hope, C.",7.01E+09,"Discount rates, equity weights and the social cost of carbon",2008,James,,,Energy Economics,30,3,,1011,1019,NA,45,1,CT,,,10.1016/j.eneco.2006.11.006,,https://www.scopus.com/inward/record.url?eid=2-s2.0-39749175643&partnerID=40&md5=b7ef672022e3ee7eadab608a8246d2f8,,Article,Final,,Scopus,2-s2.0-39749175643,
3528,"Guo, J., Hepburn, C.J., Tol, R.S.J., Anthoff, D.",8433495900; 9741754000; 55765581600; 13002913500,Discounting and the social cost of carbon: A closer look at uncertainty,2006,Simon,Added,,Environmental Science and Policy,9,3,,205,216,NA,66,1,CT,,,10.1016/j.envsci.2005.11.010,,https://www.scopus.com/inward/record.url?eid=2-s2.0-33645885907&partnerID=40&md5=3c56a88f845116f29bed597d240e06db,,Article,Final,,Scopus,2-s2.0-33645885907,
3714,"Anthoff, David;Tol, Richard S J;Yohe, Gary W",NA,Discounting for Climate Change,2009,Moritz,,,"Economics: The Open-Access, Open-Assessment E-Journal",3,,NA,,NA,NA,NA,NA,CT,1,NST,,,https://search.proquest.com/docview/56947519?accountid=14505,,Scholarly Journals,NA,NA,EconLit,NA,NA
1078,"van den Bijgaart, I.M., Smulders, S.",57164889400; 6603672067,Does a Recession Call for Less Stringent Environmental Policy? A Partial-Equilibrium Second-Best Analysis,2018,Gernot,,,Environmental and Resource Economics,70,4,,807,834,NA,2,1,AZ,,,10.1007/s10640-017-0157-0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85026908328&partnerID=40&md5=a1b5adc0f52bbf9c622e46a2c241fd23,,Article,Final,,Scopus,2-s2.0-85026908328,
3726,"Caro, Felipe;Corbett, Charles J;Tan, Tarkan;Zuidwijk, Rob",NA,Double Counting in Supply Chain Carbon Footprinting,2013,Delavane,,,Manufacturing and Service Operations Management,15,4,NA,545,NA,NA,NA,1,CT,,,,,https://search.proquest.com/docview/1531429019?accountid=14505,,Scholarly Journals,NA,NA,EconLit,NA,NA
1946,"Allen, M.R.",7.40E+09,Drivers of peak warming in a consumption-maximizing world,2016,James,,,Nature Climate Change,6,7,,684,686,NA,18,1,NST,,,10.1038/nclimate2977,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84975830628&partnerID=40&md5=5466ea3c37f40a06ebfd1800c75b6e26,,Article,Final,,Scopus,2-s2.0-84975830628,
2065,"Yu, J.",5.72E+10,Dynamics of optimal carbon prices with inter-temporal regulation,2016,Ivan,Not relevant,"It's about banking and borrowing, and its basically impossible to read the prices off the figures since they're 3 dimensional",International Journal of Climate Change Strategies and Management,8,1,,2,18,NA,NA,1,NST,,,10.1108/IJCCSM-03-2014-0040,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84953373667&partnerID=40&md5=767109f452d37641d4d856e532721638,,Article,Final,,Scopus,2-s2.0-84953373667,
633,"Nordhaus, W.",7.00E+09,Economics of the disintegration of the Greenland ice sheet,2019,Moritz,,,Proceedings of the National Academy of Sciences of the United States of America,116,25,,12261,12269,NA,2,NA,HFW,1,NST,10.1073/pnas.1814990116,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067600704&partnerID=40&md5=bf11ed40e4358f3fb4bcb0e2e94fe650,,Article,Final,Open Access,Scopus,2-s2.0-85067600704,
2006,"Lemoine, D., Traeger, C.P.",13806244300; 37125128200,Economics of tipping the climate dominoes,2016,Ivan,Added,,Nature Climate Change,6,5,,514,519,NA,39,1,NST,,,10.1038/nclimate2902,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84964941377&partnerID=40&md5=5997172f3975c21e6702fc45fd8629f7,,Article,Final,,Scopus,2-s2.0-84964941377,
2190,"Wang, M., Liu, K., Choi, T.-M., Yue, X.",55631030400; 57189379878; 7202769936; 15838243100,Effects of Carbon Emission Taxes on Transportation Mode Selections and Social Welfare,2015,Delavane,,,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",45,11,7109929,1413,1423,NA,27,1,NST,,,10.1109/TSMC.2015.2411577,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84970003087&partnerID=40&md5=64942aec6d909563a4850f1bebff985d,,Article,Final,,Scopus,2-s2.0-84970003087,
1599,"Dayaratna, K., McKitrick, R., Kreutzer, D.",13405218400; 6603036806; 57194716852,Empirically constrained climate sensitivity and the social cost of carbon,2017,Fran,Added,,Climate Change Economics,8,2,1750006,,,NA,5,1,NST,,,10.1142/S2010007817500063,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85021807771&partnerID=40&md5=c891c10d3ffa3ee08dd957449e1fc940,,Article,Final,,Scopus,2-s2.0-85021807771,
3590,"Popp, D.",7.01E+09,ENTICE: Endogenous technological change in the DICE model of global warming,2004,Simon,Added,,Journal of Environmental Economics and Management,48,1,,742,768,NA,245,NA,CT,1,NST,10.1016/j.jeem.2003.09.002,,https://www.scopus.com/inward/record.url?eid=2-s2.0-3042600486&partnerID=40&md5=2f7da8af565d4ef778438cbe57a86cb9,,Article,Final,,Scopus,2-s2.0-3042600486,
2280,"Cai, Y., Judd, K.L., Lenton, T.M., Lontzek, T.S., Narita, D.",35796984200; 7005438447; 7004637798; 53980219400; 8418460700,Environmental tipping points significantly affect the cost-benefit assessment of climate policies,2015,Simon,Added,,Proceedings of the National Academy of Sciences of the United States of America,112,15,,4606,4611,NA,38,1,NST,,,10.1073/pnas.1503890112,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84928138088&partnerID=40&md5=7342c11a484eeee7c92fb5e4d3b89b0c,,Article,Final,Open Access,Scopus,2-s2.0-84928138088,
2914,"Ackerman, F., Stanton, E.A., Bueno, R.",36877553300; 20434608100; 35931841700,Epstein-Zin Utility in DICE: Is Risk Aversion Irrelevant to Climate Policy?,2013,Gernot,,,Environmental and Resource Economics,56,1,,73,84,NA,22,1,CT,,,10.1007/s10640-013-9645-z,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84883291728&partnerID=40&md5=4a979924b7e79eeab313fa788a525b60,,Article,Final,,Scopus,2-s2.0-84883291728,
434,"Costello, K.W.",8.61E+09,Essay on climate apocalypse and a carbon tax,2019,Moritz,,,Electricity Journal,32,10,106669,,,NA,NA,1,NST,,,10.1016/j.tej.2019.106669,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85072804794&partnerID=40&md5=74695fc50a65975fce99b54771d1c96e,,Article,Final,,Scopus,2-s2.0-85072804794,
764,"Wang, P., Deng, X., Zhou, H., Yu, S.",55499901500; 7401769047; 57200389530; 57205263756,Estimates of the social cost of carbon: A review based on meta-analysis,2019,Fran,Not relevant,Meta-Analysis,Journal of Cleaner Production,209,,,1494,1507,NA,20,1,NST,,,10.1016/j.jclepro.2018.11.058,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059326398&partnerID=40&md5=fbe78e85f2734e9a42526a66b03c9bc6,,Article,Final,,Scopus,2-s2.0-85059326398,
1602,"Kessler, L.",5.72E+10,Estimating the economic impact of the permafrost carbon feedback,2017,Delavane,,,Climate Change Economics,8,2,1750008,,,NA,3,1,NST,,,10.1142/S2010007817500087,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85021845865&partnerID=40&md5=463e1cc4f2daff414375b94d6245a038,,Article,Final,,Scopus,2-s2.0-85021845865,
1742,"Hannum, C., Cutler, H., Iverson, T., Keyser, D.",56732781100; 7003890922; 52563706800; 57190062925,Estimating the implied cost of carbon in future scenarios using a CGE model: The Case of Colorado,2017,James,,,Energy Policy,102,,,500,511,NA,14,1,NST,,,10.1016/j.enpol.2016.12.046,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85008354783&partnerID=40&md5=b36bd8b02bb68eae5323773693696439,,Article,Final,Open Access,Scopus,2-s2.0-85008354783,
770,"Dong, Y., Hauschild, M., Sørup, H., Rousselet, R., Fantke, P.",56275935500; 57204577690; 55387165800; 57204783560; 50661383500,Evaluating the monetary values of greenhouse gases emissions in life cycle impact assessment,2019,Gernot,,,Journal of Cleaner Production,209,,,538,549,NA,8,1,NST,,,10.1016/j.jclepro.2018.10.205,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85057181205&partnerID=40&md5=9874831c73ca02a523a581692c58ea8b,,Article,Final,,Scopus,2-s2.0-85057181205,
3639,"Fiddaman, T.S.",1.64E+10,Exploring policy options with a behavioral climate-economy model,2002,Fran,Not relevant,Paper adds additional market failures and behavioral aspects to energy capital investments. No changes to climate damages or climate system - optimal carbon tax reported can't be interpreted as SCC,System Dynamics Review,18,2,,243,267,NA,100,NA,CT,1,NST,10.1002/sdr.241,,https://www.scopus.com/inward/record.url?eid=2-s2.0-0036322125&partnerID=40&md5=b833aeea5eac632e673d4110073d2e3d,,Article,Final,,Scopus,2-s2.0-0036322125,
481,"Estrada, F., Tol, R.S.J., Botzen, W.J.W.",55410291500; 55765581600; 24072972400,Extending integrated assessment models? damage functions to include adaptation and dynamic sensitivity,2019,Ivan,Not relevant,About damage function but does not report SCCs nor taxes,Environmental Modelling and Software,121,,104504,,,NA,1,1,YL,,,10.1016/j.envsoft.2019.104504,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85071723994&partnerID=40&md5=6072c062d02957afad16e98861ad7d98,,Article,Final,,Scopus,2-s2.0-85071723994,
1925,"Rabl, A., Spadaro, J.V.",7004462093; 7006723253,External Costs of Energy: How Much Is Clean Energy Worth?,2016,Delavane,,,"Journal of Solar Energy Engineering, Transactions of the ASME",138,4,40801,,,NA,11,1,NST,,,10.1115/1.4033596,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84971659682&partnerID=40&md5=35c4abb44c5bec53bda99c68f6cb78a0,,Article,Final,,Scopus,2-s2.0-84971659682,
2515,"Newbold, S.C., Griffiths, C., Moore, C., Wolverton, A.N.N., Kopits, E.",10139389700; 7201983102; 57213137647; 23490875100; 13004682400,"Further comment on ""a rapid assessment model for understanding the social cost of carbon""",2014,Simon,Not relevant,,Climate Change Economics,5,2,1450005,,,NA,1,1,NST,,,10.1142/S2010007814500055,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85073413272&partnerID=40&md5=e2a5efab64301daed0b71010e0714a8a,,Article,Final,,Scopus,2-s2.0-85073413272,
2549,"Van Der Ploeg, F., Withagen, C.",6701915911; 7003930644,"Growth, renewables, and the optimal carbon tax",2014,James,,,International Economic Review,55,1,,283,311,NA,51,1,NST,,,10.1111/iere.12049,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84892899483&partnerID=40&md5=b7c15aebfe368b942958439a5dbd60bc,,Article,Final,,Scopus,2-s2.0-84892899483,
1902,"Freeman, M.C., Groom, B.",8349635100; 9740614000,How certain are we about the certainty-equivalent long term social discount rate?,2016,Fran,Added,,Journal of Environmental Economics and Management,79,,,152,168,NA,7,1,NST,,,10.1016/j.jeem.2016.06.004,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84989871312&partnerID=40&md5=8008f64b3949ab8924b27862cb34a913,,Article,Final,,Scopus,2-s2.0-84989871312,
3379,"Hope, C.",7.01E+09,How deep should the deep cuts be? Optimal CO<inf>2</inf> emissions over time under uncertainty,2009,Ivan,Added,,Climate Policy,9,1,,3,8,NA,17,1,CT,,,10.3763/cpol.2008.0544,,https://www.scopus.com/inward/record.url?eid=2-s2.0-60849123923&partnerID=40&md5=f9a71223db63e9098487e591f32a6fbd,,Article,Final,,Scopus,2-s2.0-60849123923,
1322,"Su, X., Shiogama, H., Tanaka, K., Fujimori, S., Hasegawa, T., Hijioka, Y., Takahashi, K., Liu, J.",54417995600; 10241250100; 55636322183; 36971176800; 26655621500; 23993507900; 55741327300; 57191252750,How do climate-related uncertainties influence 2 and 1.5 °c pathways?,2018,Moritz,,,Sustainability Science,13,2,,291,299,NA,5,1,NST,,,10.1007/s11625-017-0525-2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85047598385&partnerID=40&md5=e2c6ae605dee20ce3c4a60f1e683899b,,Article,Final,Open Access,Scopus,2-s2.0-85047598385,
2195,"Parry, I.A.N., Veung, C., Heine, D.",7005819304; 57128531200; 55574702600,HOW MUCH CARBON PRICING IS in COUNTRIES' OWN INTERESTS? the CRITICAL ROLE of CO-BENEFITS,2015,Gernot,,,Climate Change Economics,6,4,1550019,,,NA,23,1,NST,,,10.1142/S2010007815500190,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85044320742&partnerID=40&md5=8a9de06a21a30f79f6210f1648303286,,Article,Final,,Scopus,2-s2.0-85044320742,
3004,"Wouter Botzen, W.J., van den Bergh, J.C.J.M.",40762604600; 7006196632,How sensitive is Nordhaus to Weitzman? Climate policy in DICE with an alternative damage function,2012,James,,,Economics Letters,117,1,,372,374,NA,21,1,CT,,,10.1016/j.econlet.2012.05.032,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84862651043&partnerID=40&md5=6735c943ea562956f137e1a7a716af1c,,Article,Final,,Scopus,2-s2.0-84862651043,
1540,"Hafeez, S., Weller, S.R., M. Kellett, C.",57188641195; 7202503383; 57196098247,Impact of Climate Model Parametric Uncertainty in an MPC Implementation of the DICE Integrated Assessment Model,2017,Simon,Added,,IFAC-PapersOnLine,50,1,,959,965,NA,2,1,NST,,,10.1016/j.ifacol.2017.08.169,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85031805790&partnerID=40&md5=d8f561cc4eddc87d935b72c1f80a79ed,,Article,Final,Open Access,Scopus,2-s2.0-85031805790,
2284,"Hatase, K., Managi, S.",56576345600; 13609873900,Increase in carbon prices: analysis of energy-economy modeling,2015,Delavane,,,Environmental Economics and Policy Studies,17,2,,241,262,NA,2,1,NST,,,10.1007/s10018-014-0101-2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84925946340&partnerID=40&md5=950659587166a9a1ce573ba7381bbec1,,Article,Final,,Scopus,2-s2.0-84925946340,
2159,"Dennig, F., Budolfson, M.B., Fleurbaey, M., Siebert, A., Socolow, R.H.",57031858900; 57031877600; 6602530940; 56909741300; 6603772388,"Inequality, climate impacts on the future poor, and carbon prices",2015,Moritz,,,Proceedings of the National Academy of Sciences of the United States of America,112,52,,15827,15832,NA,57,1,NST,,,10.1073/pnas.1513967112,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84952683314&partnerID=40&md5=80d888616407f4a97049bee8c2482428,,Article,Final,Open Access,Scopus,2-s2.0-84952683314,
1691,"Metcalf, G.E., Stock, J.H.",7004606890; 7202122235,Integrated assessment models and the social cost of carbon: A review and assessment of U.S. experience,2017,Gernot,,,Review of Environmental Economics and Policy,11,1,rew017,80,99,NA,14,1,NST,,,10.1093/reep/rew014,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85017247784&partnerID=40&md5=431817751fc0350fadf84105c5f5f112,,Article,Final,,Scopus,2-s2.0-85017247784,
3658,"Mastrandrea, M.D., Schneider, S.H.",6602804620; 7401904068,Integrated assessment of abrupt climatic changes,2001,Ivan,Added,,Climate Policy,1,4,,433,449,NA,1,NA,CT,1,NST,10.3763/cpol.2001.0146,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85025376785&partnerID=40&md5=bba58acffa6058f02ba165bcbfaa5d0a,,Article,Final,,Scopus,2-s2.0-85025376785,
3694,"Weyant, J",NA,Integrated assessment of climate change: state of the literature,2014,Delavane,,,JOURNAL OF BENEFIT-COST ANALYSIS,5,3,,377,409,NA,18,NA,CT,1,HFW,10.1515/jbca-2014-9002,,NA,,J,NA,Bronze,WebofScience,NA,NA
1974,"Rezai, A., Van der Ploeg, F.",36859652300; 6701915911,"Intergenerational inequality aversion, growth, and the role of damages: Occam’s rule for the global carbon tax",2016,Fran,Added,,Journal of the Association of Environmental and Resource Economists,3,2,,493,522,NA,19,1,NST,,,10.1086/686294,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85014393540&partnerID=40&md5=ab5e7082a7307d5de5332905a2c95d4e,,Article,Final,,Scopus,2-s2.0-85014393540,
3275,"Tol, R.S.J.",5.58E+10,International Inequity Aversion and the Social Cost of Carbon,2010,Simon,Added,,Climate Change Economics,1,1,,21,32,NA,11,NA,CT,1,NST,10.1142/S2010007810000029,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881937214&partnerID=40&md5=35b722df03cb968b833ac3882f620d9c,,Article,Final,,Scopus,2-s2.0-84881937214,
1186,"Hänsel, M.C., Quaas, M.F.",57217775596; 22958134600,"Intertemporal Distribution, Sufficiency, and the Social Cost of Carbon",2018,Moritz,,,Ecological Economics,146,,,520,535,NA,3,1,AZ,,,10.1016/j.ecolecon.2017.11.024,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85037664897&partnerID=40&md5=045e58d3dfa655bc84b2e1f814351fd1,,Article,Final,Open Access,Scopus,2-s2.0-85037664897,
1150,"Burke, M., Davis, W.M., Diffenbaugh, N.S.",9744099300; 57190861623; 13805883800,Large potential reduction in economic damages under UN mitigation targets,2018,James,,,Nature,557,7706,,549,553,NA,59,1,AZ,,,10.1038/s41586-018-0071-9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85047509834&partnerID=40&md5=b75fd77a3c389967bc3b94be03bc43f3,,Article,Final,,Scopus,2-s2.0-85047509834,
3434,"Kolstad, C., Ulph, A.",6603725191; 6603806706,Learning and international environmental agreements,2008,Ivan,Not relevant,Pure theory on formation of IEAs,Climatic Change,89,2-Jan,,125,141,NA,35,1,CT,,,10.1007/s10584-008-9399-8,,https://www.scopus.com/inward/record.url?eid=2-s2.0-46649110761&partnerID=40&md5=1e1d1b6264bd82feb1cfd636b971e104,,Article,Final,,Scopus,2-s2.0-46649110761,
368,"Kotlikoff, L., Kubler, F., Polbin, A., Sachs, J., Scheidegger, S.",6603857401; 6701803164; 57193317076; 7101926169; 36057190000,MAKING CARBON TAXATION A GENERATIONAL WIN WIN,2020,Gernot,,,International Economic Review,,,,,,NA,NA,1,NST,,,10.1111/iere.12483,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85091018268&partnerID=40&md5=ef53e59683af7297747c5ab1afd89058,,Article,Article in Press,,Scopus,2-s2.0-85091018268,
3367,"Kuik, O., Brander, L., Tol, R.S.J.",6506827992; 12766801200; 55765581600,Marginal abatement costs of greenhouse gas emissions: A meta-analysis,2009,Delavane,,,Energy Policy,37,4,,1395,1403,NA,87,1,CT,,,10.1016/j.enpol.2008.11.040,,https://www.scopus.com/inward/record.url?eid=2-s2.0-63149153313&partnerID=40&md5=5294f424ea43097c6c4ec480159fcae1,,Article,Final,,Scopus,2-s2.0-63149153313,
