ID_number,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9
2329,FMoore,DDiaz,,,,,,,
2542,DLemoine,CTraeger,,,,,,,
2820,CHope,MHope,,,,,,,
730,DAnthoff,JEmmerling,,,,,,,
194,IRudik,,,,,,,,
1812,DLemoine,CTraeger,,,,,,,
2006,DLemoine,CTraeger,,,,,,,
71,MKalkuhl,LWenz,,,,,,,
620,SDietz,FVenmans,,,,,,,
2407,SDietz,NStern,,,,,,,
3168,SDietz,,,,,,,,
750,LTian,QYe,ZZhen,,,,,,
1209,RGerlagh,MLiski,,,,,,,
1185,CGuivarch,APottier,,,,,,,
1465,ARezai,FvanderPloeg,,,,,,,
1004,FvanderPloeg,AdeZeeuw,,,,,,,
3634,WPizer,,,,,,,,
2220,MFreeman,BGroom,EPanopoulou,TPantelidis,,,,,
3528,JGuo,CHepburn,RTol,DAnthoff,,,,,
3590,DPopp,,,,,,,,
2280,YCai,KJudd,TLenton,TLontzek,DNarita,,,,
1540,SHafeez,SWeller,CKellett,,,,,,
3275,RTol,,,,,,,,
3679,LGoulder,KMathai,,,,,,,
2649,MGolosov,JHassler,PKrusell,ATsyvinski,,,,,
787,FvanderPloeg,AdeZeeuw,,,,,,,
1064,WNordhaus,,,,,,,,
2003,YCai,TLenton,TLontzek,,,,,,
2321,TLontzek,YCai,KJudd,TLenton,,,,,
1998,MGonzálezEguino,MNeumann,,,,,,,
2201,APottier,EEspagne,BPerrissinFabert,PDumas,,,,,
1286,TFaulwasser,RNydestedt,CKellett,SWeller,,,,,
2285,FvanderPloeg,,,,,,,,
3795,JPycroft,LVergano,CHope,DPaci,JCiscar,,,,
2532,GHeal,AMillner,,,,,,,
1474,WBrock,AXepapadeas,,,,,,,
341,SOkullo,,,,,,,,
1992,IvandenBijgaart,RGerlagh,MLiski,,,,,,
2523,FvanderPloeg,,,,,,,,
1902,MFreeman,BGroom,,,,,,,
1599,KDayaratna,RMcKitrick,DKreutzer,,,,,,
588,IHwang,RTol,MHofkes,,,,,,
924,TEkholm,,,,,,,,
3379,CHope,,,,,,,,
3658,MMastrandrea,SSchneider,,,,,,,
811,EHillebrand,MHillebrand,,,,,,,
2599,DAnthoff,RTol,,,,,,,
1157,JYoo,RMendelsohn,,,,,,,
3483,TDangl,FWirl,,,,,,,
1293,JQuiggin,,,,,,,,
2501,AMarten,,,,,,,,
2270,DShindell,,,,,,,,
436,YCai,TLontzek,,,,,,,
1949,JHassler,PKrusell,JNycander,,,,,,
1000,KRicke,LDrouet,KCaldeira,MTavoni,,,,,
1541,RPindyck,,,,,,,,
1974,ARezai,FvanderPloeg,,,,,,,
1394,FMoore,UBaldos,THertel,DDiaz,,,,,
3758,CHope,,,,,,,,
137,KDayaratna,RMcKitrick,PMichaels,,,,,,
2578,SJensen,CTraeger,,,,,,,
763,MBudolfson,FDennig,MFleurbaey,NScovronick,ASiebert,DSpears,FWagner,,
3437,CHope,,,,,,,,
2202,RGerlagh,TMichielsen,,,,,,,
2485,SWaldhoff,DAnthoff,SRose,RTol,,,,,
253,MBarnett,WBrock,LHansen,,,,,,
1393,MBudolfson,FDennig,MFleurbaey,ASiebert,RSocolow,,,,
3385,DAnthoff,RTol,,,,,,,
1946,MAllen,,,,,,,,
1645,LBerger,JEmmerling,MTavoni,,,,,,
2793,MWeitzman,,,,,,,,
2896,AOtto,BTodd,NBowerman,DFrame,MAllen,,,,
3371,CHepburn,PKoundouri,EPanopoulou,TPantelidis,,,,,
2794,BCrost,CTraeger,,,,,,,
1609,IHwang,FReyna,RTol,,,,,,
546,RTol,,,,,,,,
2562,EMoyer,MWoolley,NMatteson,MGlotter,DWeisbach,,,,
3151,ROrtiz,AGolub,OLugovoy,AMarkandya,JWang,,,,
3004,WBotzen,JvandenBergh,,,,,,,
1285,TFaulwasser,CKellett,SWeller,,,,,,
697,LBarrage,,,,,,,,
793,WBrock,AXepapadeas,,,,,,,
67,MNaeini,BLeibowicz,JBickel,,,,,,
1644,ARautiainen,JLintunen,,,,,,,
2898,MGreenstone,EKopits,AWolverton,,,,,,
3376,DAnthoff,CHepburn,RTol,,,,,,
1602,LKessler,,,,,,,,
2566,JPycroft,LVergano,CHope,,,,,,
966,PYang,YYao,ZMi,HLiao,BYu,QLiang,DCoffman,YWei,
803,FvanderPloeg,ARezai,,,,,,,
786,LBretschger,APattakou,,,,,,,
2913,IHwang,FReyes,RTol,,,,,,
3017,RKopp,AGolub,NKeohane,COnda,,,,,
495,KDaniel,RLitterman,GWagner,,,,,,
2914,FAckerman,EStanton,RBueno,,,,,,
1214,FvanderPloeg,,,,,,,,
2893,DAnthoff,RTol,,,,,,,
3771,AMarten,,,,,,,,
1583,XSu,KTakahashi,SFujimori,THasegawa,KTanaka,EKato,HShiogama,TMasui,SEmori
2813,DFoley,ARezai,LTaylor,,,,,,
3086,LJohnson,CHope,,,,,,,
2872,RTol,,,,,,,,
3781,WNordhaus,,,,,,,,
1191,LBarrage,,,,,,,,
3050,FAckerman,CMunitz,,,,,,,
2883,SNewbold,CGriffiths,CMoore,AWolverton,EKopits,,,,
1641,FvanderPloeg,ARezai,,,,,,,
633,WNordhaus,,,,,,,,
1322,XSu,HShiogama,KTanaka,SFujimori,THasegawa,YHijioka,KTakahashi,JLiu,
2159,FDennig,MBudolfson,MFleurbaey,ASiebert,RSocolow,,,,
1186,MHansel,MQuaas,,,,,,,
1067,LBretschger,CKarydas,,,,,,,
2379,MFreeman,BGroom,,,,,,,
1663,WNordhaus,,,,,,,,
2856,GYohe,CHope,,,,,,,
2346,TIverson,SDenning,SZahran,,,,,,
1685,DAsplund,,,,,,,,
1003,EEspagne,APottier,BFabert,FNadaud,PDumas,,,,
2704,MGlotter,RPierrehumbert,JElliott,NMatteson,EMoyer,,,,
3265,DAnthoff,RTol,,,,,,,
3714,DAnthoff,RTol,GYohe,,,,,,
1255,RGerlagh,MLiski,,,,,,,
3016,FAckerman,EStanton,,,,,,,
1846,XLi,BNarajabad,TTemzelides,,,,,,
1598,SRose,DDiaz,GBlanford,,,,,,
108,MHansel,MDrupp,DJohansson,FNesje,CAzar,MFreeman,BGroom,TSterner,
340,PHoward,DSylvan,,,,,,,
2284,KHatase,SManagi,,,,,,,
1005,KGillingham,WNordhaus,DAnthoff,GBlanford,VBosetti,PChristensen,HMcJeon,JReilly,
368,LKotlikoff,FKubler,APolbin,JSachs,SScheidegger,,,,
2636,JPezzey,PBurke,,,,,,,
808,DAsplund,,,,,,,,
3686,KWong,JChuah,CHope,,,,,,
2574,BCrost,CTraeger,,,,,,,
1570,MAdler,DAnthoff,VBosetti,GGarner,KKeller,NTreich,,,
3377,DAnthoff,RTol,GYohe,,,,,,
3535,FAckerman,IFinlayson,,,,,,,
2548,BAnderson,EBorgonovo,MGaleotti,RRoson,,,,,
4000,RNewell,BPizer,,,,,,,
4006,DNarita,RTol,DAnthoff,,,,,,
4024,PWatkiss,TDowning,,,,,,,
4004,PLink,RTol,,,,,,,
4003,CHope,,,,,,,,
4002,CHope,,,,,,,,
4008,RTol,,,,,,,,
4007,WNordhaus,,,,,,,,
4019,CKemfert,TTruong,TBruckner,,,,,,
