SCC_wedge_value;SCCwedge_Drivers_earth_system;SCCwedge_Drivers_tipping_climate_system;SCCwedge_Drivers_tipping_damage;SCCwedge_Drivers_substitutability;SCCwedge_Drivers_persistent_damages;SCCwedge_Drivers_distributional_weighting;SCCwedge_Drivers_Epstein-Zin;SCCwedge_Drivers_model_uncertainty;SCCwedge_Drivers_learning;SCCwedge_Drivers_ethical_approaches;SCCwedge_Drivers_adaptation;SCCwedge_Drivers_endogenous_tech_progress;SCCwedge_Drivers_pure_time_pref;SCCwedge_Drivers_EMUC;SCCwedge_Drivers_damage_function_parameters;SCCwedge_Drivers_Other;SCC_Lit_Central;SCC_True_Central;Interview number (ongoing)
800;;;;;;;;;;;;;;;;;200;1000;699
350;;;;;;;;;;;;;;;;;50;400;743
340;;;;;;;;;;;;;;;;;60;400;732
300;25;25;25;0;0;0;0;0;0;0;0;0;0;0;25;0;100;400;558
260;0;5;15;20;10;0;5;0;10;0;-10;0;10;5;30;0;40;300;576
250;0;0;23;39;27;0;0;0;0;0;-13;0;0;0;24;0;150;400;750
210;0;15;10;20;5;5;0;5;5;10;-10;-10;20;10;15;0;40;250;567
200;;;;;;;;;;;;;;;;;100;300;664
200;20;0;2;0;0;20;4;0;-1;7;0;0;36;13;-1;0;50;250;738
200;5;0;0;10;0;0;15;2;-4;0;-10;0;30;8;30;14;50;250;752
170;;;;;;;;;;;;;;;;;80;250;560
170;10;0;5;15;20;0;0;20;-10;0;-20;-15;20;-5;60;0;50;220;623
170;0;0;0;25;0;25;0;0;0;25;0;0;25;0;0;0;30;200;635
170;;;;;;;;;;;;;;;;;30;200;746
150;-20;10;10;10;20;10;15;15;-20;0;-20;0;30;15;25;0;50;200;628
140;;;;;;;;;;;;;;;;;60;200;655
135;6;5;-4;5;4;-5;0;5;0;-4;26;17;0;10;37;-2;45;180;604
130;0;4;4;33;15;11;0;0;0;31;-15;0;5;5;7;0;70;200;673
120;3;3;15;8;1;0;8;10;5;2;2;2;20;20;1;0;80;200;644
120;0;0;0;16;16;15;16;17;0;0;0;0;0;0;20;0;80;200;718
110;-25;20;10;20;10;25;5;0;-20;0;-10;-10;15;20;40;0;50;160;592
105;0;20;8;37;12;0;20;13;0;0;0;-10;0;0;0;0;45;150;613
100;4;3;30;20;25;7;6;7;-5;0;-5;0;0;8;0;0;100;200;553
100;;;;;;;;;;;;;;;;;100;200;636
95;0;0;0;20;0;40;0;0;0;0;-20;0;40;20;0;0;25;120;693
95;0;10;20;10;5;0;21;5;5;0;5;0;0;9;10;0;80;175;714
90;0;50;0;25;0;25;0;0;0;0;0;0;0;0;0;0;60;150;659
80;4;0;0;10;25;15;18;0;0;0;0;0;0;0;28;0;70;150;579
80;0;10;10;30;0;0;0;0;0;0;0;0;20;0;30;0;45;125;687
75;40;0;10;0;0;0;0;10;0;0;0;0;0;0;40;0;45;120;685
75;0;0;21;0;21;0;18;0;0;29;11;0;0;0;0;0;45;120;690
75;;;;;;;;;;;;;;;;;50;125;701
70;0;20;8;0;8;5;0;5;0;20;0;0;20;0;14;0;80;150;675
70;0;38;22;0;41;0;0;20;0;14;-22;-22;0;9;0;0;30;100;683
60;20;0;0;0;0;0;0;0;0;40;-20;0;0;0;60;0;40;100;650
55;0;40;0;0;40;0;0;0;0;0;20;0;0;0;0;0;45;100;570
50;9;11;5;40;10;4;4;0;-10;0;-7;-10;25;0;19;0;50;100;598
50;0;15;0;35;0;10;20;10;-5;15;-10;-10;10;0;10;0;50;100;630
50;0;41;45;0;23;0;0;0;-16;0;-17;0;0;0;24;0;50;100;669
50;0;0;0;20;20;20;30;20;0;0;-10;-20;0;0;20;0;50;100;710
50;;;;;;;;;;;;;;;;;100;150;735
40;15;15;15;15;15;0;10;10;10;0;-10;-10;0;0;15;0;60;100;608
40;0;0;20;0;10;50;0;0;0;0;0;0;20;0;0;0;40;80;739
30;0;0;0;0;13;10;0;0;0;0;-38;0;10;10;95;0;50;80;582
30;0;5;0;30;0;25;0;15;0;0;-5;5;5;15;5;0;30;60;645
20;20;10;0;0;10;0;0;0;0;0;0;20;0;0;40;0;80;100;569
20;0;15;10;0;0;20;0;10;0;0;0;0;30;0;15;0;50;70;634
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;60;80;679
20;2;9;-10;20;26;11;0;5;0;5;0;-8;10;20;10;0;50;70;708
15;;;;;;;;;;;;;;;;;50;65;588
10;;;;;;;;;;;;;;;;;50;60;599
10;25;25;0;10;25;5;0;10;0;0;-50;0;0;0;50;0;90;100;620
10;;;;;;;;;;;;;;;;;45;55;626
10;;;;;;;;;;;;;;;;;50;60;705
0;0;-12;-9;0;0;14;-5;-27;0;0;0;0;-13;-1;0;53;150;150;697
0;0;13;14;0;-11;4;0;0;-20;0;0;-5;0;0;5;0;33;33;562
0;;;;;;;;;;;;;;;;;50;50;574
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;617
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;633
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;742
-12;0;0;0;-20;0;0;0;0;0;0;-80;0;0;0;0;0;27;15;641
-20;0;0;0;0;0;-50;0;-10;0;0;-20;0;0;0;-20;0;85;65;572
-25;;;;;;;;;;;;;;;;;125;100;749
-27;-50;0;0;0;0;0;0;0;0;0;0;-10;0;0;-15;-25;35;8;660
-40;;;;;;;;;;;;;;;;;40;0;594
-165;;;;;;;;;;;;;;;;;200;35;595